Company,Model,Total Units sold,Average Purchase Rate,ARPU Per Year,Q-Q Projected Growth %,Recent Quarter Sales,Next Quarter Revenue,YoY Forecasted Growth Rate,Units Sold Recent Quarter,Projected Units Sales for Next Quarter,Income Group of Potential Customers,Color
Lexus,LS400,86,1.048780488,53707.56098,11,$498002,$550503,-29.96180681,8,9,Low Income,Black
Dodge,Ram Pickup,130,1.074380165,28069.20661,-52,$890346,$424547,-0.014366192,19,9,Low Income,Pale White
Ford,Taurus,69,1.029850746,48473.35821,-39,$697504,$423615,-33.91351964,10,6,Low Income,Black
Oldsmobile,Silhouette,61,1.033898305,54974.79661,-16,$480002,$405439,-4.938323709,6,5,Low Income,Black
Volkswagen,Jetta,84,1.024390244,37939.29268,-35,$595004,$388878,4.817737814,13,8,Low Income,Pale White
Dodge,Ram Pickup,98,1.042553191,32246.04255,-37,$598458,$378891,10.4638484,14,9,High Income,Pale White
Cadillac,Eldorado,47,1.02173913,60365.5,-31,$548602,$378656,-46.38901435,2,1,High Income,Black
Chevrolet,Malibu,82,1.025,36911.525,-46,$680509,$369115,34.713012,11,6,Low Income,Pale White
Chrysler,Concorde,72,1.043478261,42391.6087,-5,$384001,$365628,-43.31401568,5,5,Low Income,Pale White
Oldsmobile,Cutlass,75,1.013513514,38894.66216,-42,$619695,$359776,183.288189,13,8,Low Income,Pale White
Lexus,LS400,77,1.054794521,37404.43836,-12,$404004,$356155,119.8474083,7,6,Low Income,Pale White
Mitsubishi,Montero Sport,77,1.013157895,36743.65789,-46,$640506,$349065,-30.87862844,11,6,Low Income,Pale White
Chevrolet,Corvette,89,1,31107.10112,-36,$537505,$346067,-37.42086447,14,9,Low Income,Pale White
Saturn,LS,75,1.041666667,37416.97222,9,$309004,$336753,78.17336233,4,4,Low Income,Pale White
Toyota,Tacoma,63,1.016129032,43269.54839,-36,$522303,$335339,-21.48484785,11,7,High Income,Pale White
Nissan,Pathfinder,69,1.029850746,39683.73134,-31,$483002,$332351,-19.7225624,11,8,Low Income,Pale White
Toyota,Tacoma,63,1.032786885,42860.86885,-54,$708002,$326814,41.47608473,10,5,Low Income,Pale White
Cadillac,Eldorado,48,1.066666667,55255.8,-15,$383001,$324328,21.1300009,4,3,Low Income,Black
Mercedes-B,S-Class,54,1,48004.92593,-43,$564506,$324033,-0.60367913,6,3,Low Income,Black
Mercedes-B,SLK,84,1.090909091,33616.42857,-53,$694955,$323558,4.20547504,16,7,Low Income,Pale White
Lexus,LS400,55,1,46951.72727,-10,$360081,$322793,-38.4103888,7,6,High Income,Black
Mitsubishi,Diamante,99,1.03125,26713.8125,-45,$587005,$320566,57.13711496,18,10,Low Income,Black
Volkswagen,Jetta,80,1.012658228,32402.13924,-29,$447802,$319971,-5.36230298,12,9,High Income,Pale White
Volkswagen,Passat,109,1.048076923,24507.66346,-40,$535010,$318600,-23.59730552,16,10,Low Income,Pale White
BMW,528i,81,1.038461538,32173.33333,-49,$610507,$313690,23.49805515,13,7,Low Income,Pale White
Mitsubishi,Diamante,91,1.034090909,26843.48864,-32,$453803,$308117,-34.8532005,10,7,High Income,Black
Chrysler,Concorde,63,1.05,41051.1,83,$168482,$307883,-19.98924122,3,5,High Income,Pale White
Audi,A6,100,1.063829787,26021.48936,-17,$368004,$305753,-10.98997392,11,9,Low Income,Black
Chrysler,LHS,63,1.032786885,36510.96721,-44,$542256,$303705,-21.70533643,9,5,High Income,Black
Ford,Contour,46,1.022222222,51922.55556,-55,$653004,$292064,-32.78220684,10,4,Low Income,Pale White
Nissan,Pathfinder,57,1,39757.38596,-16,$335505,$283271,-29.18278113,7,6,High Income,Pale White
BMW,328i,77,1,29389.84416,-44,$508006,$282877,4.381116146,12,7,Low Income,Black
Ford,Explorer,72,1.028571429,32235.92857,-33,$423002,$282064,-43.97956711,10,7,Low Income,Pale White
Chevrolet,Malibu,61,1.033898305,38222.10169,-6,$298804,$281888,-33.59591429,6,6,High Income,Pale White
Buick,Park Avenue,49,1.020833333,46551.27083,-17,$334502,$279308,-11.89105466,5,4,High Income,Pale White
Buick,Park Avenue,46,1.022222222,49189.06667,-2,$283500,$276689,-47.44778282,3,3,Low Income,Pale White
BMW,528i,54,1.018867925,37928.58491,-55,$608405,$274120,-46.47943972,11,5,High Income,Pale White
Chrysler,Sebring Coupe,60,1.034482759,35791.63793,107,$131002,$270772,-30.80247276,2,4,Low Income,Pale White
Chrysler,LHS,66,1.047619048,34184.30159,-50,$541003,$269201,4.644861848,14,7,Low Income,Black
Toyota,Celica,80,1.025641026,27599,-46,$495407,$269090,-14.71133579,9,5,High Income,Pale White
Oldsmobile,Silhouette,37,1,58121.91892,2,$262600,$268814,-44.13708975,3,3,High Income,Black
Lexus,LS400,63,1.016129032,33091.40323,-39,$436604,$267609,73.77094954,12,7,High Income,Pale White
Ford,Taurus,46,1,46248.1087,-30,$378101,$265927,-52.09860309,7,5,High Income,Black
Chrysler,LHS,87,1.023529412,23736.57647,-36,$411304,$263166,10.34075043,15,10,Low Income,Pale White
Oldsmobile,Aurora,49,1.020833333,43719,-10,$292002,$262314,-43.22244661,3,3,Low Income,Red
Ford,Contour,37,1,56313.72973,-33,$391402,$260451,-30.08101926,7,5,High Income,Pale White
Oldsmobile,Intrigue,48,1.021276596,42476.46809,-52,$538007,$260399,-16.13558776,8,4,Low Income,Pale White
Oldsmobile,Cutlass,47,1.02173913,41335.1087,-49,$507205,$259284,-37.46225314,12,6,High Income,Pale White
Ford,Explorer,55,1,34498.4,17,$221002,$258738,-40.43825664,5,6,High Income,Pale White
Ford,Ranger,63,1,30047.80952,-18,$316502,$258138,1.229794276,7,6,Low Income,Black
Volkswagen,Passat,91,1.045977011,23695.05747,-45,$464807,$257684,-10.49624353,13,7,High Income,Pale White
Volkswagen,Jetta,68,1.014925373,30745,13,$227502,$257489,-59.98666683,4,5,Low Income,Red
Mitsubishi,Montero Sport,45,1.046511628,45895.60465,-3,$264500,$257414,-1.375835712,3,3,Low Income,Black
Toyota,Celica,79,1.025974026,26475.57143,-25,$340004,$254827,24.30464093,6,4,Low Income,Pale White
Volkswagen,Jetta,58,1.054545455,36578.43636,-3,$260503,$251477,-54.7948776,7,7,High Income,Red
Ford,Focus,39,1.026315789,50330.52632,-49,$490804,$249464,13.13457474,9,5,Low Income,Black
Mercedes-B,SLK,68,1.014925373,28488.65672,-1,$251185,$248966,20.56289739,4,4,High Income,Pale White
Cadillac,Catera,31,1,61569.58065,-20,$310201,$248955,10.27760428,4,3,High Income,Pale White
Cadillac,Catera,29,1,68581.37931,-2,$253501,$248608,-33.76652786,3,3,Low Income,Pale White
Dodge,Viper,60,1,33016.86667,-28,$344006,$247627,-54.27034434,5,4,Low Income,Red
Mitsubishi,Montero Sport,51,1.040816327,38389.08163,-68,$759506,$245356,43.22924876,16,5,High Income,Pale White
Oldsmobile,Bravada,72,1.014084507,26474.85915,-52,$511505,$245180,-26.37237237,14,7,Low Income,Black
Plymouth,Voyager,25,1,75040.16,-19,$300501,$244696,-34.74773333,2,2,Low Income,Black
Chevrolet,Corvette,62,1,31456.72581,-29,$341204,$243790,-20.51345588,8,6,High Income,Pale White
Chevrolet,Prizm,78,1,22907.34615,21,$201004,$243651,20.61811269,5,6,Low Income,Black
Lincoln,Continental,63,1.05,32358.46667,-56,$552501,$242689,-19.23907582,11,5,Low Income,Black
Mercury,Sable,39,1.026315789,50473.86842,54,$156000,$239751,72.48273381,4,6,Low Income,Red
Ford,Expedition,81,1.051948052,24605.42857,-24,$312004,$236827,-5.270336756,9,7,Low Income,Black
Audi,A6,80,1.052631579,22822.59211,-40,$395003,$236525,-13.36144058,13,8,Low Income,Pale White
Chrysler,Sebring Coupe,59,1.035087719,33046.96491,-31,$338802,$235460,-5.817883642,10,7,High Income,Pale White
Saturn,LS,45,1.022727273,42672.5,-3,$241801,$234699,-54.93516742,6,6,High Income,Pale White
Lexus,LX470,47,1.02173913,40771.97826,-55,$516004,$234439,44.71364551,9,4,Low Income,Pale White
Chevrolet,Prizm,73,1.073529412,26628.85294,2,$222503,$226345,16.67268041,6,6,Low Income,Pale White
Plymouth,Voyager,2,1,75000,,,$225000,,,,Medium Income,Black
Subaru,Outback,31,1,52387.32258,-29,$311000,$221456,4.459391893,5,4,Low Income,Red
Cadillac,Escalade,56,1,30296.67857,1,$219650,$221297,-18.99905931,4,4,High Income,Black
Honda,Accord,41,1.025,44134.775,-14,$258002,$220674,2.638114994,5,4,Low Income,Black
Pontiac,Sunfire,47,1.02173913,38098.1087,-30,$312502,$219064,-51.48105656,7,5,Low Income,Pale White
Oldsmobile,Silhouette,90,1.022727273,19761.64773,-20,$272505,$217378,11.76016946,13,10,Low Income,Pale White
Volvo,S40,54,1.058823529,31112.84314,-48,$412253,$216376,-3.618708241,14,7,Low Income,Pale White
Mercury,Sable,38,1,45524.02632,-32,$318004,$216239,-33.87226989,5,3,High Income,Red
